step,time_s,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,root_vel_world_x,root_vel_world_y,root_vel_world_z,root_ang_vel_world_x,root_ang_vel_world_y,root_ang_vel_world_z,base_lin_vel_body_x,base_lin_vel_body_y,base_lin_vel_body_z,base_ang_vel_body_x,base_ang_vel_body_y,base_ang_vel_body_z,base_euler_roll,base_euler_pitch,base_euler_yaw,dof_pos_1,dof_pos_2,dof_vel_1,dof_vel_2,policy_action_1,policy_action_2,output_action_1,output_action_2,torque_1,torque_2,command_1,command_2,command_3,goal_dist,obstacle_clearance,contact_norm_base_link,contact_norm_link1,contact_norm_link2,done,success,collision,timeout,unstable,out_of_bounds,terminal_x,terminal_y,terminal_goal_distance,terminal_speed,terminal_clearance
0,0.0,1.53033e-09,3.3801933e-18,0.40000767,0.0,0.0,0.0,1.0,1.1854999e-07,2.164422e-15,-7.3928386e-05,1.7366383e-14,3.7968076e-07,-5.6828694e-19,1.1854999e-07,2.164422e-15,-7.3928386e-05,1.7366383e-14,3.7968076e-07,-5.6828694e-19,0.0,0.0,0.0,-1.2117611e-09,1.1473491e-16,-1.0018623e-07,2.5037755e-14,0.0,0.0,0.0,0.0,1.3880655e-06,-5.747986e-14,8.0,8.0,0.0,11.313708305358887,5.099019527435303,0.0,1273.973876953125,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
1,0.03999999910593033,5.8890882e-06,-0.00027914738,0.40000743,0.00016571465,2.7304744e-05,-2.2522521e-07,1.0,0.000824267,-0.0027245188,-9.982481e-05,0.05322044,0.0064217104,-1.9808853e-05,0.0008242737,-0.0027245516,-9.887681e-05,0.053220443,0.006421728,-1.9030858e-05,0.00033142933,5.4609565e-05,-4.4140083e-07,-0.00021812432,-0.002869267,-0.038409438,-0.028067349,3.1842754,-0.19184674,0.02,-0.04,-2.019642,-10.830278,8.0,8.0,0.0,11.313901901245117,5.098744869232178,0.0,1273.625732421875,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
2,0.07999999821186066,-1.9971145e-05,-0.00023590571,0.40000802,0.00064855197,-0.00014181026,-1.6716076e-07,0.99999976,-0.0019461155,-0.0016849858,-4.206196e-05,-0.025080854,-0.01501003,-1.258229e-05,-0.0019461263,-0.0016850391,-3.932436e-05,-0.025080847,-0.0150100365,1.4000736e-05,0.001297104,-0.00028362026,-5.1826413e-07,0.0002766948,-0.0028245095,0.093669035,-0.032024067,4.072716,0.18985085,0.04,0.0,1.6709837,15.482984,8.0,8.0,0.0,11.313889503479004,5.098784446716309,0.0,1273.2724609375,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
3,0.11999999731779099,-4.5410998e-05,0.00012686242,0.40000787,0.00012560966,-0.00033969333,8.435739e-07,0.9999999,-0.00079287577,0.010185413,-8.898488e-05,-0.025041152,-0.013042967,4.7417267e-05,-0.00079291954,0.01018539,-9.100495e-05,-0.02504113,-0.013042907,6.770651e-05,0.00025121876,-0.0006793869,1.6018104e-06,0.0007077186,-6.3438674e-05,0.010468028,0.078479975,3.866495,0.8236768,0.06,0.04,1.9613296,2.173956,8.0,8.0,0.0,11.313651084899902,5.098886013031006,0.0,1273.770751953125,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
4,0.1599999964237213,-0.000104524705,0.00076451554,0.40000772,-0.0006883077,-0.00085242436,3.2374435e-06,0.99999934,-0.0014916322,0.016457317,-0.00014750622,-0.051105894,-0.029636202,0.0001180366,-0.0014917552,0.01645751,-0.00012230752,-0.051105835,-0.029636059,0.00016436682,-0.0013766224,-0.001704844,7.648354e-06,0.0015320012,0.005471258,0.007452625,0.14550716,3.963966,0.5698465,0.08,0.08,3.0422513,10.537516,8.0,8.0,0.0,11.313241958618164,5.098249435424805,0.0,1274.4019775390625,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
5,0.19999999552965164,-0.00019536146,0.001187815,0.40000933,-0.0013476298,-0.0017195811,5.4691664e-06,0.9999976,-0.0026279665,0.012011405,-5.652553e-06,0.0014240481,-0.04767317,0.00013705617,-0.0026277835,0.012011393,3.5759076e-05,0.0014237687,-0.047673374,3.6669567e-06,-0.002695291,-0.003439146,1.5573116e-05,0.0032957678,0.00967695,0.06985775,0.12872492,4.0413437,0.12211099,0.099999994,0.061055496,2.7918448,-7.8184443,8.0,8.0,0.0,11.313006401062012,5.097816467285156,0.0,1273.4962158203125,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
6,0.23999999463558197,-0.00026939507,0.0015841031,0.40000778,-0.001683991,-0.0027462076,1.0226335e-05,0.99999475,-0.0011716362,0.0045158635,-0.00014924568,-0.0600923,-0.052570302,0.00026826817,-0.0011723039,0.0045163534,-0.00012759844,-0.060091477,-0.052570228,0.00042126284,-0.0033680776,-0.0054923794,2.9702187e-05,0.005661761,0.015204723,0.021613706,0.09386938,3.9453733,0.36813205,0.11999999,0.101055495,3.4113233,15.062423,8.0,8.0,0.0,11.31277847290039,5.097413539886475,0.0,1274.4207763671875,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
7,0.2799999937415123,-0.00030444394,0.002082099,0.40000874,-0.002372496,-0.0040157125,2.413772e-05,0.9999891,-0.00026554812,0.010868982,-0.0002078414,-0.03971866,-0.06517535,0.00076520786,-0.0002664768,0.010869851,-0.00015412901,-0.039715614,-0.06517707,0.0007749324,-0.004745305,-0.00803131,6.733161e-05,0.0080468375,0.024140012,0.04228871,0.22572176,3.8700423,0.69464755,0.13999999,0.1410555,4.1018524,13.710983,8.0,8.0,0.0,11.312451362609863,5.09691858291626,0.0,1276.8397216796875,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
8,0.3199999928474426,-0.00026252697,0.001868619,0.4000101,-0.0021368586,-0.0054217055,2.5385652e-05,0.999983,0.0023575346,-0.007177404,0.00015450039,0.057038084,-0.068919845,0.000110493515,0.0023585402,-0.007178063,9.825463e-05,0.057030823,-0.068921246,-0.000802517,-0.0042741843,-0.010843331,7.394562e-05,0.011009544,0.02947232,0.029512355,0.14145152,4.5653734,-0.46407634,0.15999998,0.101055495,4.124862,-11.93523,8.0,8.0,0.0,11.312572479248047,5.097135543823242,0.0,1269.5390625,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
9,0.35999999195337296,-9.6962685e-05,0.0007965554,0.40000802,-0.0007139481,-0.0068632695,2.181688e-06,0.9999761,0.0045580096,-0.033032425,-7.782188e-05,0.058167573,-0.07164845,-0.0007348392,0.0045560426,-0.033032242,-0.00018754342,0.05815097,-0.07164698,-0.0016354914,-0.001428027,-0.01372664,1.4164643e-05,0.014545436,0.030313501,0.13839988,-0.016760964,4.6713934,-0.55562556,0.17999998,0.061055496,3.4184744,6.0255537,8.0,8.0,0.0,11.313214302062988,5.098219394683838,0.0,1271.827392578125,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
